CIN,BORROWER_NAME,LENDER_NAME,SECURITY_TYPE,ASSET_DESCRIPTION,CHARGE_AMOUNT,CHARGE_REGISTRATION_DATE
U46048072005PTC256788,Global Chemicals Exports Pvt Ltd,Canara Bank,pledge,Inventory - Global Chemicals Exports Pvt Ltd,3000000,2007-06-12
U20328072017PTC578857,Metro Constructions Trading Co Pvt Ltd,Union Bank of India,mortgage,Inventory - Metro Constructions Trading Co Pvt Ltd,2000000,2018-06-20
U66155332023PTC941436,Krishna Agro Enterprises Pvt Ltd,ICICI Bank,pledge,Land & Building - Krishna Agro Enterprises Pvt Ltd,2000000,2027-01-21
U99353272008PTC927768,Sagar Infrastructure Ventures Pvt Ltd,Union Bank of India,pledge,Inventory - Sagar Infrastructure Ventures Pvt Ltd,1200000,2009-03-19
U77839272019PTC473418,Jai Logistics Private Limited,State Bank of India,mortgage,Plant & Machinery - Jai Logistics Private Limited,1200000,2020-11-09
U17455242010PTC532497,Om Chemicals Pvt Ltd,Indian Overseas Bank,pledge,Inventory - Om Chemicals Pvt Ltd,2000000,2012-08-13
U93136272007PTC444152,Continental Infrastructure Pvt Ltd,HDFC Bank,pledge,Inventory - Continental Infrastructure Pvt Ltd,1200000,2009-11-15
U15229332016PTC942591,Elite Logistics Exports Pvt Ltd,Bank of Baroda,mortgage,Plant & Machinery - Elite Logistics Exports Pvt Ltd,1200000,2018-03-23
U20735242013PTC493153,Shree Foods Trading Co Pvt Ltd,Punjab National Bank,pledge,Plant & Machinery - Shree Foods Trading Co Pvt Ltd,3000000,2014-12-26
U19329332019PTC720776,Global Infrastructure Ventures Pvt Ltd,Union Bank of India,pledge,Inventory - Global Infrastructure Ventures Pvt Ltd,2000000,2022-08-11
U57419192021PTC652879,Shakti Pharma Exports Pvt Ltd,IDBI Bank,hypothecation,Inventory - Shakti Pharma Exports Pvt Ltd,3000000,2022-01-14
U27892092021PTC905998,Om Infrastructure Ventures Pvt Ltd,IDBI Bank,mortgage,Land & Building - Om Infrastructure Ventures Pvt Ltd,2000000,2025-01-11
U91691332015PTC726354,Sunrise Constructions Pvt Ltd,Union Bank of India,hypothecation,Inventory - Sunrise Constructions Pvt Ltd,500000,2018-05-18
U31805072019PTC727713,Metro Textiles Pvt Ltd,ICICI Bank,pledge,Inventory - Metro Textiles Pvt Ltd,1200000,2022-05-25
U98188082016PTC785396,Vardhman Infrastructure Trading Co Pvt Ltd,Axis Bank,pledge,Land & Building - Vardhman Infrastructure Trading Co Pvt Ltd,3000000,2017-04-28
U29340192015PTC826953,Everest Electronics Pvt Ltd,Union Bank of India,hypothecation,Plant & Machinery - Everest Electronics Pvt Ltd,3000000,2018-05-28
U22463242018PTC327731,Silver Traders Exports Pvt Ltd,State Bank of India,pledge,Inventory - Silver Traders Exports Pvt Ltd,2000000,2022-03-23
U55242242008PTC450798,Jai Infrastructure Exports Pvt Ltd,Union Bank of India,mortgage,Land & Building - Jai Infrastructure Exports Pvt Ltd,500000,2008-11-30
U26932242010PTC398677,Sagar Foods Private Limited,HDFC Bank,pledge,Land & Building - Sagar Foods Private Limited,3000000,2014-09-27
U87867072024PTC531700,Sunrise Pharma Trading Co Pvt Ltd,HDFC Bank,pledge,Plant & Machinery - Sunrise Pharma Trading Co Pvt Ltd,1200000,2024-07-03
U78690082019PTC548142,Laxmi Chemicals Enterprises Pvt Ltd,ICICI Bank,mortgage,Land & Building - Laxmi Chemicals Enterprises Pvt Ltd,1200000,2021-08-24
U67340242009PTC096169,Orion Logistics Ventures Pvt Ltd,Punjab National Bank,pledge,Inventory - Orion Logistics Ventures Pvt Ltd,2000000,2010-02-07
U65027272012PTC669990,Vishal Electronics Industries Pvt Ltd,HDFC Bank,hypothecation,Inventory - Vishal Electronics Industries Pvt Ltd,3000000,2013-12-06
U57265072021PTC070967,Ganga Plastics Trading Co Pvt Ltd,Canara Bank,pledge,Inventory - Ganga Plastics Trading Co Pvt Ltd,500000,2024-07-17
U13396192008PTC771412,National Pharma Trading Co Pvt Ltd,Punjab National Bank,mortgage,Plant & Machinery - National Pharma Trading Co Pvt Ltd,3000000,2008-11-04
U82616272016PTC600077,Elite Pharma Ventures Pvt Ltd,HDFC Bank,pledge,Plant & Machinery - Elite Pharma Ventures Pvt Ltd,3000000,2019-08-13
U47230272021PTC887026,Om Infrastructure Private Limited,Indian Overseas Bank,pledge,Inventory - Om Infrastructure Private Limited,2000000,2024-09-30
U69028242021PTC801536,Laxmi Constructions Trading Co Pvt Ltd,State Bank of India,hypothecation,Inventory - Laxmi Constructions Trading Co Pvt Ltd,2000000,2024-01-09
U51555192020PTC503111,Elite Plastics Ventures Pvt Ltd,Axis Bank,pledge,Land & Building - Elite Plastics Ventures Pvt Ltd,3000000,2021-10-14
U80143092012PTC774569,Aditya Textiles Private Limited,HDFC Bank,mortgage,Land & Building - Aditya Textiles Private Limited,3000000,2013-01-25
U69432082006PTC138354,Ganga Agro Industries Pvt Ltd,ICICI Bank,mortgage,Inventory - Ganga Agro Industries Pvt Ltd,500000,2009-12-26
U70375192012PTC362975,Bharat Infrastructure Private Limited,Indian Overseas Bank,pledge,Inventory - Bharat Infrastructure Private Limited,500000,2013-09-08
U43422242012PTC213215,Royal Constructions Pvt Ltd,Indian Overseas Bank,pledge,Inventory - Royal Constructions Pvt Ltd,1200000,2015-01-24
U44283272014PTC377115,Ganga Pharma Industries Pvt Ltd,Union Bank of India,pledge,Inventory - Ganga Pharma Industries Pvt Ltd,3000000,2016-07-19
U90980272006PTC668707,Vardhman Electronics Industries Pvt Ltd,ICICI Bank,hypothecation,Plant & Machinery - Vardhman Electronics Industries Pvt Ltd,500000,2009-03-09
U21232092017PTC809677,Laxmi Infrastructure Ventures Pvt Ltd,State Bank of India,mortgage,Land & Building - Laxmi Infrastructure Ventures Pvt Ltd,2000000,2018-11-07
U66489072010PTC470647,Sagar Plastics Trading Co Pvt Ltd,IDBI Bank,hypothecation,Inventory - Sagar Plastics Trading Co Pvt Ltd,1200000,2014-02-04
U93948292010PTC689238,Silver Agro Pvt Ltd,IDBI Bank,hypothecation,Land & Building - Silver Agro Pvt Ltd,2000000,2011-08-21
U77582072017PTC786225,Prime Foods Enterprises Pvt Ltd,IDBI Bank,mortgage,Plant & Machinery - Prime Foods Enterprises Pvt Ltd,3000000,2018-11-24
