CIN,Company_Name,ROC_Code,Registration_Number,Company_Category,Company_SubCategory,Class_of_Company,Date_of_Incorporation,Registered_Address,Registered_State,Registered_Pincode,Email_Id,Whether_Listed,Company_Status,Authorized_Capital_Rs,Paid_up_Capital_Rs,Date_of_Last_AGM,Date_of_Balance_Sheet,Industrial_Activity_Code,Industrial_Activity_Description,Synthetic_Ring_ID,Synthetic_Shell_Ground_Truth
U14101MH2015PTC100522,Orion Consultancy Private Limited,ROC-PUNE,100523,Company limited by Shares,Non-govt company,Private,18/10/2015,"194, Arcade, Anmol Marg, Pune, Maharashtra - 411089",Maharashtra,411089,orion21@gmail.com,Unlisted,Active,2000000,1278300,26/10/2025,31/03/2026,14101,Manufacture of wearing apparel,,No
U10610GJ2006PTC100738,Vardhan Investments Private Limited,ROC-AHMEDABAD,100739,Company limited by Shares,Non-govt company,Private,28/10/2006,"337, Chambers, Vantage Colony, Ahmedabad, Gujarat - 380096",Gujarat,380096,vardhan86@gmail.com,Unlisted,Active,100000,88554,14/11/2024,31/03/2024,10610,Manufacture of grain mill products,,No
U10610MH2019PTC100741,Sunrise Agro Private Limited,ROC-PUNE,100742,Company limited by Shares,Non-govt company,Private,08/05/2019,"461, Plaza, Elite Street, Pune, Maharashtra - 411018",Maharashtra,411018,sunrise88@gmail.com,Unlisted,Active,5000000,2548194,14/11/2024,31/03/2024,10610,Manufacture of grain mill products,,No
U10610TG2007PTC100661,Vishal Agro Private Limited,ROC-HYDERABAD,100662,Company limited by Shares,Non-govt company,Private,31/08/2007,"626, Complex, Rudra Nagar, Hyderabad, Telangana - 500028",Telangana,500028,vishal32@gmail.com,Unlisted,Active,1000000,862110,04/08/2024,31/03/2024,10610,Manufacture of grain mill products,,No
U70200HR2022PTC100412,Vantage Constructions Private Limited,ROC-CHANDIGARH,100413,Company limited by Shares,Non-govt company,Private,25/10/2022,"530, Complex, Trident Street, Gurugram, Haryana - 122069",Haryana,122069,vantage85@gmail.com,Unlisted,Active,100000,75663,04/07/2025,31/03/2026,70200,Management consultancy activities,,No
U14101RJ2023PLC100679,Lakshmi Commodities Limited,ROC-JAIPUR,100680,Company limited by Shares,Non-govt company,Public,21/12/2023,"624, Mall, National Layout, Jaipur, Rajasthan - 302011",Rajasthan,302011,lakshmi52@gmail.com,Unlisted,Active,100000,91000,21/08/2024,31/03/2024,14101,Manufacture of wearing apparel,,No
U14101TN2009PTC100627,Diamond Logistics Private Limited,ROC-CHENNAI,100628,Company limited by Shares,Non-govt company,Private,28/05/2009,"310, House, Silver Layout, Chennai, Tamil Nadu - 600034",Tamil Nadu,600034,diamond26@gmail.com,Unlisted,Active,500000,401164,01/09/2025,31/03/2026,14101,Manufacture of wearing apparel,,No
U41001GJ2014PTC100514,Om Logistics Private Limited,ROC-AHMEDABAD,100515,Company limited by Shares,Non-govt company,Private,11/09/2014,"242, Mall, Radiant Nagar, Ahmedabad, Gujarat - 380085",Gujarat,380085,om37@gmail.com,Unlisted,Active,1000000,736587,10/07/2025,31/03/2025,41001,Construction of residential/commercial buildings,,No
U68100HR2020PTC100860,Capital Textiles Private Limited,ROC-CHANDIGARH,100861,Company limited by Shares,Non-govt company,Private,21/06/2020,"150, Chambers, Emerald Road, Gurugram, Haryana - 122015",Haryana,122015,capital19@gmail.com,Unlisted,Active,5000000,3369964,24/12/2024,31/03/2024,68100,Real estate activities with own/leased property,,No
U68100MH2019PTC100137,Sai Industries Private Limited,ROC-PUNE,100138,Company limited by Shares,Non-govt company,Private,28/06/2019,"965, Mall, Om Street, Pune, Maharashtra - 411083",Maharashtra,411083,sai65@gmail.com,Unlisted,Active,200000,109197,02/07/2025,31/03/2025,68100,Real estate activities with own/leased property,,No
U70200TN2017PTC100812,National Enterprises Private Limited,ROC-CHENNAI,100813,Company limited by Shares,Non-govt company,Private,07/06/2017,"119, Chambers, Continental Marg, Chennai, Tamil Nadu - 600050",Tamil Nadu,600050,national34@gmail.com,Unlisted,Active,1000000,802669,23/07/2025,31/03/2025,70200,Management consultancy activities,,No
U74999TG2018PTC100077,Nova Agro Private Limited,ROC-HYDERABAD,100078,Company limited by Shares,Non-govt company,Private,22/10/2018,"895, Mall, Krishna Nagar, Hyderabad, Telangana - 500057",Telangana,500057,nova98@rediffmail.com,Unlisted,Active - Non-compliant,25000000,500000,,,74999,Other business support service activities n.e.c.,RING-12,Yes
U68100MH2005PTC100637,Metro Chemicals Private Limited,ROC-PUNE,100638,Company limited by Shares,Non-govt company,Private,26/04/2005,"915, Complex, Rudra Road, Pune, Maharashtra - 411073",Maharashtra,411073,metro95@gmail.com,Unlisted,Active,100000,57798,08/11/2024,31/03/2024,68100,Real estate activities with own/leased property,,No
U14101TN2025PTC100974,Zenith Foods Private Limited,ROC-CHENNAI,100975,Company limited by Shares,Non-govt company,Private,15/03/2025,"987, Plaza, Diamond Nagar, Chennai, Tamil Nadu - 600084",Tamil Nadu,600084,zenith31@gmail.com,Unlisted,Active,5000000,3131627,28/07/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U70200WB2020PTC100939,Rudra Distributors Private Limited,ROC-KOLKATA,100940,Company limited by Shares,Non-govt company,Private,11/06/2020,"482, Tower, Bharat Layout, Kolkata, West Bengal - 700050",West Bengal,700050,rudra55@gmail.com,Unlisted,Dormant,2000000,1960998,28/12/2024,31/03/2024,70200,Management consultancy activities,,No
U14101WB2018PTC100900,Vinayak Services Private Limited,ROC-KOLKATA,100901,Company limited by Shares,Non-govt company,Private,14/06/2018,"726, Mall, Zenith Road, Kolkata, West Bengal - 700097",West Bengal,700097,vinayak18@gmail.com,Unlisted,Active,200000,192376,18/09/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U47190WB2008PTC100281,Vardhan Agro Private Limited,ROC-KOLKATA,100282,Company limited by Shares,Non-govt company,Private,09/06/2008,"811, Complex, Apex Nagar, Kolkata, West Bengal - 700016",West Bengal,700016,vardhan49@gmail.com,Unlisted,Active,500000,326231,01/10/2025,31/03/2025,47190,Other retail sale in non-specialized stores,,No
U46900WB2009PTC100884,Ashirwad Infra Private Limited,ROC-KOLKATA,100885,Company limited by Shares,Non-govt company,Private,31/08/2009,"585, Arcade, Vishal Marg, Kolkata, West Bengal - 700062",West Bengal,700062,ashirwad57@gmail.com,Unlisted,Active,2000000,1588360,02/12/2024,31/03/2024,46900,Wholesale trade (non-specialized),,No
U70200GJ2025PLC100762,Continental Merchants Limited,ROC-AHMEDABAD,100763,Company limited by Shares,Non-govt company,Public,16/12/2025,"45, Heights, Pioneer Chowk, Ahmedabad, Gujarat - 380098",Gujarat,380098,continental46@gmail.com,Unlisted,Active,5000000,3304201,05/11/2024,31/03/2024,70200,Management consultancy activities,,No
U82990KA2021PTC100320,Vishal Investments Private Limited,ROC-BANGALORE,100321,Company limited by Shares,Non-govt company,Private,14/04/2021,"173, Plaza, Global Colony, Bengaluru, Karnataka - 560070",Karnataka,560070,vishal32@gmail.com,Unlisted,Active,2000000,1101947,27/12/2025,31/03/2026,82990,Other business support activities n.e.c.,,No
U70200UP2007PTC100550,Vertex Impex Private Limited,ROC-KANPUR,100551,Company limited by Shares,Non-govt company,Private,24/04/2007,"999, Chambers, Golden Lane, Kanpur, Uttar Pradesh - 208023",Uttar Pradesh,208023,vertex33@gmail.com,Unlisted,Active,100000,88614,26/11/2024,31/03/2024,70200,Management consultancy activities,,No
U46310MH2012PTC100175,Aastha Realty Private Limited,ROC-PUNE,100176,Company limited by Shares,Non-govt company,Private,29/05/2012,"421, Plaza, Vertex Marg, Pune, Maharashtra - 411026",Maharashtra,411026,aastha83@gmail.com,Unlisted,Active,100000,74075,27/12/2025,31/03/2026,46310,Wholesale of agricultural raw materials,,No
U45201UP2020PTC100372,Everest Ventures Private Limited,ROC-KANPUR,100373,Company limited by Shares,Non-govt company,Private,24/03/2020,"205, Arcade, Everest Road, Kanpur, Uttar Pradesh - 208048",Uttar Pradesh,208048,everest82@gmail.com,Unlisted,Active,500000,451095,18/10/2025,31/03/2026,45201,Maintenance and repair of motor vehicles,,No
U62011MH2005PTC100528,Rudra Exports Private Limited,ROC-PUNE,100529,Company limited by Shares,Non-govt company,Private,23/04/2005,"378, Heights, Skyline Nagar, Pune, Maharashtra - 411094",Maharashtra,411094,rudra76@gmail.com,Unlisted,Active,100000,67067,28/07/2025,31/03/2026,62011,Computer programming activities,,No
U52290RJ2012PTC100211,Universal Retail Private Limited,ROC-JAIPUR,100212,Company limited by Shares,Non-govt company,Private,20/05/2012,"586, Tower, Trident Chowk, Jaipur, Rajasthan - 302064",Rajasthan,302064,universal87@gmail.com,Unlisted,Active,1000000,762323,04/07/2024,31/03/2024,52290,Other transportation support activities,,No
U46900UP2014PLC100236,Apex Developers Limited,ROC-KANPUR,100237,Company limited by Shares,Non-govt company,Public,16/05/2014,"544, House, Trident Road, Kanpur, Uttar Pradesh - 208067",Uttar Pradesh,208067,apex73@gmail.com,Unlisted,Active,100000,99563,14/07/2024,31/03/2024,46900,Wholesale trade (non-specialized),,No
U70200GJ2020PTC100102,Anmol Realty Private Limited,ROC-AHMEDABAD,100103,Company limited by Shares,Non-govt company,Private,21/12/2020,"772, Arcade, Bharat Chowk, Ahmedabad, Gujarat - 380084",Gujarat,380084,anmol29@rediffmail.com,Unlisted,Active - Non-compliant,100000000,500000,12/08/2021,31/03/2021,70200,Management consultancy activities,RING-15,Yes
U14101MH2012PTC100987,Shree Pharma Private Limited,ROC-MUMBAI,100988,Company limited by Shares,Non-govt company,Private,21/10/2012,"700, Complex, Krishna Road, Mumbai, Maharashtra - 400011",Maharashtra,400011,shree96@gmail.com,Unlisted,Active,500000,391336,23/08/2024,31/03/2024,14101,Manufacture of wearing apparel,,No
U10610MH2011PTC100903,Infinity Retail Private Limited,ROC-MUMBAI,100904,Company limited by Shares,Non-govt company,Private,15/09/2011,"456, Complex, Vantage Colony, Mumbai, Maharashtra - 400015",Maharashtra,400015,infinity31@gmail.com,Unlisted,Active,2000000,1062966,14/09/2025,31/03/2026,10610,Manufacture of grain mill products,,No
U68100DL2008PTC100948,Metro Logistics Private Limited,ROC-DELHI,100949,Company limited by Shares,Non-govt company,Private,26/02/2008,"160, Plaza, Apex Street, New Delhi, Delhi - 110043",Delhi,110043,metro98@gmail.com,Unlisted,Active,1000000,805749,10/09/2025,31/03/2025,68100,Real estate activities with own/leased property,,No
U45201RJ2016PTC100347,Meridian Distributors Private Limited,ROC-JAIPUR,100348,Company limited by Shares,Non-govt company,Private,26/09/2016,"877, House, Krishna Nagar, Jaipur, Rajasthan - 302040",Rajasthan,302040,meridian36@gmail.com,Unlisted,Active,500000,361870,20/09/2025,31/03/2025,45201,Maintenance and repair of motor vehicles,,No
