CIN,label
U46048072005PTC256788,normal
U30926332005PTC732053,normal
U20328072017PTC578857,normal
U99593192013PTC679515,normal
U45093272017PTC069404,normal
U66155332023PTC941436,normal
U99353272008PTC927768,normal
U79514292022PTC963111,normal
U26483072022PTC134629,normal
U77839272019PTC473418,normal
U27342192022PTC758491,normal
U17944272008PTC422180,normal
U16630242008PTC683824,normal
U65444082014PTC730430,normal
U17455242010PTC532497,normal
U44814272012PTC415012,normal
U55745332009PTC923654,normal
U44664072009PTC121036,normal
U93136272007PTC444152,normal
U15229332016PTC942591,normal
U44970242012PTC166932,normal
U46517242015PTC906340,normal
U67199272015PTC635657,normal
U76469072014PTC324309,normal
U47606272014PTC220393,normal
U39444192014PTC845743,normal
U65724272008PTC229472,normal
U65933092021PTC870915,normal
U47450082007PTC245885,normal
U37110242006PTC873350,normal
U38906242024PTC511946,normal
U83975242023PTC695206,normal
U20735242013PTC493153,normal
U89593292024PTC784257,normal
U49529192008PTC891598,normal
U66822082008PTC379782,normal
U46559192007PTC924458,normal
U88139272013PTC735245,normal
U97026192014PTC609806,normal
U80236272008PTC997068,normal
U33519192016PTC316951,normal
U34164082015PTC053873,normal
U64548072022PTC635771,normal
U91987072011PTC221276,normal
U19329332019PTC720776,normal
U45683332017PTC524784,normal
U15273332023PTC800178,normal
U63955292015PTC727370,normal
U57419192021PTC652879,normal
U25396072019PTC679173,normal
U27892092021PTC905998,normal
U52176242019PTC911844,normal
U87356292021PTC348122,normal
U91691332015PTC726354,normal
U31805072019PTC727713,normal
U70443292012PTC668892,normal
U73335192017PTC111835,normal
U75107272024PTC873295,normal
U57823272023PTC767935,normal
U54396082014PTC843299,normal
U98188082016PTC785396,normal
U74569272014PTC121762,normal
U90694072020PTC427941,normal
U69600192008PTC096127,normal
U29340192015PTC826953,normal
U68756072020PTC815810,normal
U99928242018PTC113207,normal
U69469242014PTC530109,normal
U22463242018PTC327731,normal
U16743272018PTC301602,normal
U66244092012PTC886210,normal
U10800272016PTC190218,normal
U88148272023PTC089084,normal
U55242242008PTC450798,normal
U26932242010PTC398677,normal
U12733072017PTC340545,normal
U20011272010PTC535281,normal
U95918092009PTC079014,normal
U67640272009PTC071604,normal
U87867072024PTC531700,normal
U78690082019PTC548142,normal
U50662292016PTC687924,normal
U57425242021PTC019117,normal
U96760242006PTC353124,normal
U47346082024PTC788940,normal
U79135242021PTC438998,normal
U67340242009PTC096169,normal
U28191332020PTC795703,normal
