CIN,COMPANY_NAME,REGISTERED_OFFICE_ADDRESS,CITY,STATE,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS
U46048072005PTC256788,Global Chemicals Exports Pvt Ltd,"Plot 53, Road, Delhi, DL",Delhi,DL,2005-12-18,100000,71334,Active
U30926332005PTC732053,Silver Traders Enterprises Pvt Ltd,"Plot 80, MIDC, Chennai, TN",Chennai,TN,2005-06-04,100000,56594,Active
U20328072017PTC578857,Metro Constructions Trading Co Pvt Ltd,"Plot 186, Colony, Delhi, DL",Delhi,DL,2017-04-23,100000,33207,Active
U99593192013PTC679515,Om Electronics Exports Pvt Ltd,"Plot 88, Colony, Kolkata, WB",Kolkata,WB,2013-12-08,500000,311791,Active
U45093272017PTC069404,Universal Electronics Exports Pvt Ltd,"Plot 162, MIDC, Pune, MH",Pune,MH,2017-11-16,2500000,2298195,Active
U66155332023PTC941436,Krishna Agro Enterprises Pvt Ltd,"Plot 113, MIDC, Chennai, TN",Chennai,TN,2023-09-16,100000,82904,Active
U99353272008PTC927768,Sagar Infrastructure Ventures Pvt Ltd,"Plot 329, Sector, Mumbai, MH",Mumbai,MH,2008-02-10,2500000,1026776,Active
U79514292022PTC963111,Shree Electronics Enterprises Pvt Ltd,"Plot 251, Industrial Area, Bengaluru, KA",Bengaluru,KA,2022-02-12,1000000,467616,Active
U26483072022PTC134629,Vardhman Pharma Trading Co Pvt Ltd,"Plot 85, Sector, Delhi, DL",Delhi,DL,2022-09-28,5000000,2980982,Active
U77839272019PTC473418,Jai Logistics Private Limited,"Plot 33, Sector, Pune, MH",Pune,MH,2019-01-19,5000000,2305401,Active
U27342192022PTC758491,Orion Electronics Trading Co Pvt Ltd,"Plot 243, MIDC, Kolkata, WB",Kolkata,WB,2022-08-26,2500000,1083217,Active
U17944272008PTC422180,Aditya Traders Ventures Pvt Ltd,"Plot 56, MIDC, Mumbai, MH",Mumbai,MH,2008-04-07,5000000,3070147,Active
U16630242008PTC683824,Sagar Textiles Pvt Ltd,"Plot 386, MIDC, Surat, GJ",Surat,GJ,2008-03-14,2500000,1592377,Active
U65444082014PTC730430,Aditya Plastics Exports Pvt Ltd,"Plot 368, Estate, Jaipur, RJ",Jaipur,RJ,2014-03-07,1000000,452390,Active
U17455242010PTC532497,Om Chemicals Pvt Ltd,"Plot 305, Industrial Area, Surat, GJ",Surat,GJ,2010-11-28,500000,291321,Dormant
U44814272012PTC415012,Bharat Constructions Exports Pvt Ltd,"Plot 154, Estate, Pune, MH",Pune,MH,2012-06-25,100000,30652,Active
U55745332009PTC923654,Om Logistics Enterprises Pvt Ltd,"Plot 146, MIDC, Chennai, TN",Chennai,TN,2009-08-27,5000000,3962389,Active
U44664072009PTC121036,Everest Steel Exports Pvt Ltd,"Plot 284, MIDC, Delhi, DL",Delhi,DL,2009-05-10,5000000,2237203,Active
U93136272007PTC444152,Continental Infrastructure Pvt Ltd,"Plot 2, Sector, Mumbai, MH",Mumbai,MH,2007-03-21,1000000,413107,Active
U15229332016PTC942591,Elite Logistics Exports Pvt Ltd,"Plot 128, Road, Chennai, TN",Chennai,TN,2016-02-12,5000000,4594471,Active
U44970242012PTC166932,Vishal Foods Pvt Ltd,"Plot 196, Industrial Area, Ahmedabad, GJ",Ahmedabad,GJ,2012-08-08,500000,435805,Active
U46517242015PTC906340,Om Infrastructure Enterprises Pvt Ltd,"Plot 329, Colony, Ahmedabad, GJ",Ahmedabad,GJ,2015-07-22,5000000,2659024,Active
U67199272015PTC635657,Ganga Steel Industries Pvt Ltd,"Plot 296, MIDC, Pune, MH",Pune,MH,2015-05-02,10000000,6052402,Active
U76469072014PTC324309,Vardhman Agro Enterprises Pvt Ltd,"Plot 207, Road, Delhi, DL",Delhi,DL,2014-05-18,500000,217144,Active
U47606272014PTC220393,Silver Electronics Trading Co Pvt Ltd,"Plot 336, Sector, Mumbai, MH",Mumbai,MH,2014-08-15,2500000,1932347,Active
U39444192014PTC845743,Universal Chemicals Pvt Ltd,"Plot 24, MIDC, Kolkata, WB",Kolkata,WB,2014-08-20,100000,61879,Active
U65724272008PTC229472,National Foods Trading Co Pvt Ltd,"Plot 238, Industrial Area, Mumbai, MH",Mumbai,MH,2008-09-08,100000,61952,Active
U65933092021PTC870915,Orion Plastics Industries Pvt Ltd,"Plot 82, Road, Lucknow, UP",Lucknow,UP,2021-08-15,1000000,826243,Active
U47450082007PTC245885,Prime Traders Enterprises Pvt Ltd,"Plot 277, Industrial Area, Jaipur, RJ",Jaipur,RJ,2007-03-05,500000,284062,Active
U37110242006PTC873350,Silver Agro Ventures Pvt Ltd,"Plot 300, Road, Ahmedabad, GJ",Ahmedabad,GJ,2006-01-28,5000000,2831333,Active
U38906242024PTC511946,Global Infrastructure Industries Pvt Ltd,"Plot 249, Industrial Area, Surat, GJ",Surat,GJ,2024-07-11,10000000,7753993,Active
U83975242023PTC695206,Shree Steel Exports Pvt Ltd,"Plot 220, MIDC, Ahmedabad, GJ",Ahmedabad,GJ,2023-08-06,100000,48210,Active
U20735242013PTC493153,Shree Foods Trading Co Pvt Ltd,"Plot 27, Sector, Ahmedabad, GJ",Ahmedabad,GJ,2013-04-21,100000,84686,Active
U89593292024PTC784257,Balaji Steel Ventures Pvt Ltd,"Plot 84, Sector, Bengaluru, KA",Bengaluru,KA,2024-02-19,100000,95022,Active
U49529192008PTC891598,Vardhman Electronics Ventures Pvt Ltd,"Plot 62, Colony, Kolkata, WB",Kolkata,WB,2008-01-12,5000000,2999323,Active
U66822082008PTC379782,Saraswati Pharma Exports Pvt Ltd,"Plot 79, Estate, Jaipur, RJ",Jaipur,RJ,2008-03-24,5000000,4879158,Active
U46559192007PTC924458,Golden Logistics Ventures Pvt Ltd,"Plot 238, Colony, Kolkata, WB",Kolkata,WB,2007-10-22,2500000,1338694,Active
U88139272013PTC735245,Everest Infrastructure Trading Co Pvt Ltd,"Plot 6, Colony, Pune, MH",Pune,MH,2013-04-03,500000,402026,Active
U97026192014PTC609806,Elite Pharma Trading Co Pvt Ltd,"Plot 272, Sector, Kolkata, WB",Kolkata,WB,2014-07-24,5000000,2657769,Active
U80236272008PTC997068,Shakti Foods Private Limited,"Plot 99, MIDC, Pune, MH",Pune,MH,2008-12-16,1000000,807209,Strike Off
U33519192016PTC316951,Bharat Infrastructure Pvt Ltd,"Plot 28, Colony, Kolkata, WB",Kolkata,WB,2016-05-23,500000,373254,Active
U34164082015PTC053873,Prime Pharma Pvt Ltd,"Plot 34, Estate, Jaipur, RJ",Jaipur,RJ,2015-08-03,5000000,3703059,Active
U64548072022PTC635771,Laxmi Electronics Private Limited,"Plot 398, Colony, Delhi, DL",Delhi,DL,2022-07-15,2500000,1270367,Active
U91987072011PTC221276,Prime Constructions Pvt Ltd,"Plot 81, MIDC, Delhi, DL",Delhi,DL,2011-03-18,100000,40957,Active
U19329332019PTC720776,Global Infrastructure Ventures Pvt Ltd,"Plot 321, Colony, Chennai, TN",Chennai,TN,2019-11-26,500000,298798,Active
U45683332017PTC524784,Sagar Pharma Industries Pvt Ltd,"Plot 42, Colony, Chennai, TN",Chennai,TN,2017-01-14,10000000,5256251,Active
