CIN,COMPANY_NAME,LENDER_NAME,DEFAULT_AMOUNT,CLASSIFICATION_DATE,WILFUL_DEFAULT_REASON
U67925272009PTC932946,Laxmi Plastics Ventures Pvt Ltd,Axis Bank,2800000,2013-06-19,Diversion of funds
U26662192021PTC508313,Balaji Pharma Private Limited,Vardhman Cooperative Bank Ltd,2500000,2022-11-12,Diversion of funds
U72043192021PTC034192,Aditya Chemicals Trading Co Pvt Ltd,Vardhman Cooperative Bank Ltd,2500000,2022-10-15,Diversion of funds
U84942192021PTC303658,Jai Traders Enterprises Pvt Ltd,Vardhman Cooperative Bank Ltd,2500000,2022-08-18,Diversion of funds
U87283192021PTC442245,Shri Infrastructure Enterprises Pvt Ltd,Vardhman Cooperative Bank Ltd,2500000,2022-11-28,Diversion of funds
U55698192021PTC070847,Pioneer Textiles Industries Pvt Ltd,Vardhman Cooperative Bank Ltd,4000000,2023-01-31,Diversion of funds
U59454192021PTC498313,Bharat Plastics Exports Pvt Ltd,Vardhman Cooperative Bank Ltd,4800000,2022-10-06,Diversion of funds
U12486272022PTC288320,Vishal Logistics Private Limited,Continental Urban Cooperative Bank,4800000,2023-09-01,Diversion of funds
U51999272022PTC421316,Pioneer Textiles Enterprises Pvt Ltd,Continental Urban Cooperative Bank,4800000,2023-06-10,Diversion of funds
U18579242020PTC507691,Shree Agro Exports Pvt Ltd,Orion Multistate Cooperative Bank,4800000,2022-01-08,Diversion of funds
U42285242020PTC800041,Sagar Constructions Ventures Pvt Ltd,Orion Multistate Cooperative Bank,4800000,2022-04-21,Diversion of funds
U36667242020PTC820911,National Logistics Trading Co Pvt Ltd,Orion Multistate Cooperative Bank,4000000,2022-05-23,Diversion of funds
U47912242020PTC684782,National Textiles Pvt Ltd,Orion Multistate Cooperative Bank,4000000,2022-05-26,Diversion of funds
U37886242020PTC613584,Continental Plastics Enterprises Pvt Ltd,Orion Multistate Cooperative Bank,4000000,2022-06-09,Diversion of funds
